Coenonympha california
Lethe appalachia
Lethe anthedon
Lethe eurydice
Cercyonis pegala
Oeneis jutta
Megisto cymela
Euphydryas phaeton
Chlosyne nycteis
Chlosyne harrisii
Phyciodes cocyta
Phyciodes tharos
Polygonia interrogationis
Polygonia comma
Polygonia progne
Polygonia faunus
Junonia coenia
Aglais milberti
Nymphalis antiopa
Nymphalis californica
Nymphalis l-album
Asterocampa celtis
Asterocampa clyton
Vanessa cardui
Vanessa virginiensis
Vanessa atalanta
Speyeria cybele
Speyeria aphrodite
Speyeria idalia
Speyeria atlantis
Limenitis archippus
Limenitis arthemis
Boloria bellona
Euptoieta claudia
Danaus plexippus
Libytheana carinenta
Polyommatus icarus
Glaucopsyche lygdamus
Cupido comyntas
Erora laeta
Celastrina neglecta
Celastrina serotina
Celastrina lucia
Parrhasius m-album
Strymon melinus
Callophrys irus
Callophrys henrici
Callophrys niphon
Callophrys gryneus
Callophrys augustinus
Satyrium liparops
Satyrium calanus
Satyrium caryaevorus
Satyrium titus
Satyrium acadica
Feniseca tarquinius
Ancyloxypha numitor
Hylephila phyleus
Thymelicus lineola
Amblyscirtes hegon
Amblyscirtes vialis
Thorybes pylades
Urbanus proteus
Epargyreus clarus
Erynnis lucilius
Erynnis persius
Erynnis baptisiae
Erynnis horatius
Erynnis juvenalis
Erynnis icelus
Pholisora catullus
Atrytonopsis hianna
Euphyes vestris
Euphyes bimacula
Euphyes conspicua
Euphyes dion
Anatrytone logan
Poanes viator
Poanes massasoit
Polites mystic
Polites origenes
Polites themistocles
Hesperia leonardus
Hesperia metea
Hesperia sassacus
Pieris rapae
Pieris virginiensis
Pieris oleracea
Colias eurytheme
Colias philodice
Colias interior
Papilio polyxenes
Battus philenor
Phoebis sennae
Aglais io
Lycaena hypophlaeas
Tharsalea epixanthe
Tharsalea hyllus
Callophrys lanoraieensis
Burnsius communis
Carterocephalus mandan
Vernia verna
Lon hobomok
Polites egeremet
Polites coras
Boloria myrina
Phyciodes diminutor
Dione incarnata
Satyrium edwardsii
Hesperia colorado
Papilio troilus
Satyrium favonius
Atalopedes huron
Papilio solstitius
Papilio canadensis
Papiliio glaucus
Lon zabulon
Calycopis cecrops
Eurema lisa
Papilio cresphontes
